x,z,label,confidence
8.310235599634801,75.91543994153945,park bench,0.079
9.700531451149642,75.72063083235209,oxcart,0.089
9.700531451149642,75.72063083235209,lakeside lakeshore,0.076
9.700531451149642,75.72063083235209,sandbar sand bar,0.082
-9.863343535141059,110.30314384261268,maze labyrinth,0.054
-9.863343535141059,110.30314384261268,leatherback turtle leatherback leathery turtle Dermochelys coriacea,0.183
-9.863343535141059,110.30314384261268,sandbar sand bar,0.273
-9.863343535141059,110.30314384261268,valley vale,0.099
-39.42353946497356,166.31020605026137,mountain bike all-terrain bike off-roader,0.09
-39.42353946497356,166.31020605026137,sandbar sand bar,0.176
-34.202471350472514,164.70609218808872,unicycle monocycle,0.073
-34.202471350472514,164.70609218808872,horse cart horse-cart,0.077
-34.202471350472514,164.70609218808872,sandbar sand bar,0.085
-34.202471350472514,164.70609218808872,park bench,0.077
-33.806948802688325,165.22261462539424,horse cart horse-cart,0.038
-33.806948802688325,165.22261462539424,park bench,0.058
-33.806948802688325,165.22261462539424,mobile home manufactured home,0.064
-33.806948802688325,165.22261462539424,mountain bike all-terrain bike off-roader,0.05
-31.84126993351911,165.97402118793366,oxcart,0.044
-31.84126993351911,165.97402118793366,leatherback turtle leatherback leathery turtle Dermochelys coriacea,0.034
-31.84126993351911,165.97402118793366,lakeside lakeshore,0.059
-33.29890690980019,165.1658416851381,oxcart,0.059
-33.29890690980019,165.1658416851381,park bench,0.049
-26.437784092901403,163.6185007632216,park bench,0.047
-26.437784092901403,163.6185007632216,horse cart horse-cart,0.037
-27.387379175082984,162.32051549995754,park bench,0.046
-27.387379175082984,162.32051549995754,horse cart horse-cart,0.053
-31.819107032724666,171.13924556098897,park bench,0.252
-31.61537882335103,171.82608681906294,park bench,0.14
-34.97391080270428,175.2680854744331,park bench,0.128
-24.272639111736762,166.15547195791154,park bench,0.086
-24.272639111736762,166.15547195791154,sandbar sand bar,0.172
-21.358217579134795,163.31125896852197,sandbar sand bar,0.073
-21.358217579134795,163.31125896852197,lakeside lakeshore,0.091
-21.358217579134795,163.31125896852197,park bench,0.096
-2.0841651491490234,143.91940367193678,sandbar sand bar,0.118
-2.0841651491490234,143.91940367193678,park bench,0.094
-2.0841651491490234,143.91940367193678,lakeside lakeshore,0.069
14.437425412266009,118.56750283871018,lakeside lakeshore,0.09
14.437425412266009,118.56750283871018,sandbar sand bar,0.101
3.556293252639667,134.10213777892255,sandbar sand bar,0.13
3.556293252639667,134.10213777892255,park bench,0.117
3.556293252639667,134.10213777892255,lakeside lakeshore,0.127
3.889589192996018,134.20789129522555,park bench,0.147
51.171582036056854,95.4854064231024,lakeside lakeshore,0.176
51.171582036056854,95.4854064231024,park bench,0.124
75.19616713561973,87.69526845747285,lakeside lakeshore,0.225
75.19616713561973,87.69526845747285,park bench,0.227
72.87758668396893,74.36141985041367,lakeside lakeshore,0.118
77.75768708452874,87.19321755358588,park bench,0.118
77.75768708452874,87.19321755358588,lakeside lakeshore,0.106
86.40889039689341,86.68337428628058,lakeside lakeshore,0.235
86.40889039689341,86.68337428628058,park bench,0.122
86.63222424960365,87.07633208807347,park bench,0.167
88.7394047195073,87.59730730537915,park bench,0.158
88.7394047195073,87.59730730537915,horse cart horse-cart,0.089
109.80865216229736,127.69347469444122,park bench,0.182
112.55344225607186,127.45747737341632,park bench,0.158
112.55344225607186,127.45747737341632,lakeside lakeshore,0.183
113.4697929864561,127.78364348153465,lakeside lakeshore,0.083
113.4697929864561,127.78364348153465,park bench,0.13
119.73336988490607,130.7358363772273,park bench,0.137
119.73336988490607,130.7358363772273,lakeside lakeshore,0.169
