timestamp,lat,lon,gps_accuracy,gps_timestamp,model,dtype,device,label,confidence,rank,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_norm_xmin,bbox_norm_ymin,bbox_norm_xmax,bbox_norm_ymax,frame_w,frame_h,inference_ms
1788567608433,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.338,1,,,,,,,,,480,640,66
1788567608433,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.072,2,,,,,,,,,480,640,66
1788567608433,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.046,3,,,,,,,,,480,640,66
1788567609202,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.301,1,,,,,,,,,480,640,54
1788567609202,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.085,2,,,,,,,,,480,640,54
1788567609202,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.040,3,,,,,,,,,480,640,54
1788567609974,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.265,1,,,,,,,,,480,640,60
1788567609974,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.043,2,,,,,,,,,480,640,60
1788567609974,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.038,3,,,,,,,,,480,640,60
1788567610752,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.185,1,,,,,,,,,480,640,71
1788567610752,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.109,2,,,,,,,,,480,640,71
1788567610752,40.02494304,-83.02080281,61.59851337900433,1788567605428,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.041,3,,,,,,,,,480,640,71
1788567611529,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.508,1,,,,,,,,,480,640,65
1788567611529,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"balloon",0.025,2,,,,,,,,,480,640,65
1788567611529,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.025,3,,,,,,,,,480,640,65
1788567612316,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.370,1,,,,,,,,,480,640,68.99999999988358
1788567612316,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.049,2,,,,,,,,,480,640,68.99999999988358
1788567612316,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.042,3,,,,,,,,,480,640,68.99999999988358
1788567613099,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.436,1,,,,,,,,,480,640,70
1788567613099,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.043,2,,,,,,,,,480,640,70
1788567613099,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"stone wall",0.036,3,,,,,,,,,480,640,70
1788567613881,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.280,1,,,,,,,,,480,640,71.00000000011642
1788567613881,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.085,2,,,,,,,,,480,640,71.00000000011642
1788567613881,40.02489932,-83.02082333,45.55555861363966,1788567610302,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.046,3,,,,,,,,,480,640,71.00000000011642
1788567614666,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.378,1,,,,,,,,,480,640,73
1788567614666,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.050,2,,,,,,,,,480,640,73
1788567614666,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.050,3,,,,,,,,,480,640,73
1788567615433,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.407,1,,,,,,,,,480,640,57
1788567615433,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"radio telescope, radio reflector",0.069,2,,,,,,,,,480,640,57
1788567615433,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.040,3,,,,,,,,,480,640,57
1788567616198,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.238,1,,,,,,,,,480,640,57
1788567616198,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"radio telescope, radio reflector",0.065,2,,,,,,,,,480,640,57
1788567616198,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.065,3,,,,,,,,,480,640,57
1788567616962,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.312,1,,,,,,,,,480,640,55
1788567616962,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.060,2,,,,,,,,,480,640,55
1788567616962,40.02484798,-83.02086018,63.98434362573024,1788567611446,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"radio telescope, radio reflector",0.046,3,,,,,,,,,480,640,55
1788567617737,40.02479106,-83.02099382,62.42731517837171,1788567614450,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.317,1,,,,,,,,,480,640,65.00000000011642
1788567617737,40.02479106,-83.02099382,62.42731517837171,1788567614450,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"stone wall",0.046,2,,,,,,,,,480,640,65.00000000011642
